Cidade,Categoria,Nome,Rating,Endereço,Tipos,Latitude,Longitude,Total_Reviews,id_unico,Grupo_Tematico,Locais_Semelhantes_Perto,Latitude_Nova,Longitude_Nova,Endereço_Limpo,shrinkage,Rating_Bayes,Nome_Local,Avg_Polarity,Rating_Bayes_norm,Popularity_norm,Sentiment_norm,IGATP
Gondomar,museum,World of Discoveries,4.4,"Rua de Miragaia 106, 4050-387 Porto, Portugal","tourist_attraction, point_of_interest, establishment",41.1434829,-8.620800899999999,6230,f7a7ab42,Turismo Cultural,1.0,41.1435027,-8.620811,"Rua de Miragaia 106, 4050-387 Porto, Portugal",0.9978030700552978,4.400106969565165,,0.3556162758333243,0.7995728616048658,0.07216411254358227,0.6548083743622379,0.508848449503562
Gondomar,museum,Moinhos de Jancido,4.6,"R. das Águas, Foz do Sousa, Portugal","tourist_attraction, park, museum, point_of_interest, establishment",41.0963984,-8.4858519,735,5751faf2,Turismo Cultural,0.0,41.0965583,-8.4978729,"R. das Águas, Foz do Sousa, Portugal",0.9816793144797816,4.597227905798071,Moinhos de Jancido,0.39166666666666666,0.8810574860663412,0.008513743614692289,0.6823979591836734,0.523989729621569
Gondomar,museum,3D Fun Art Museum Porto,4.8,"R. de Faria Guimarães 712, 4200-289 Porto, Portugal","museum, point_of_interest, establishment",41.1634927,-8.6063662,730,10675efc,Turismo Cultural,0.0,41.1680439,-8.606525,"R. de Faria Guimarães 712, 4200-289 Porto, Portugal",0.9815561447438346,4.793520497992745,3D Fun Art Museum Porto,0.4019444444444444,0.9621996948302745,0.00845582699146309,0.6902636054421768,0.5536397090879714
Gondomar,museum,Fundação Serralves,4.6,"R. Dom João de Castro 210, 4150-417 Porto, Portugal","movie_theater, park, museum, point_of_interest, establishment",41.1598119,-8.6598364,8847,a1bae539,Turismo Cultural,1.0,41.1590425,-8.6593536,"R. Dom João de Castro 210, 4150-417 Porto, Portugal",0.9984519301486215,4.599765762287964,,0.3556162758333243,0.8821065693700632,0.10247767314174515,0.6548083743622379,0.546464205624682
Gondomar,museum,Largo Júlio Dinis,4.5,"Largo Júlio Dinis, 4510-680 Fânzeres, Portugal","museum, point_of_interest, establishment",41.1637447,-8.527426799999999,0,46c14cd5,Turismo Cultural,0.0,41.1635393,-8.5276063,"Largo Júlio Dinis, 4510-680 Fânzeres, Portugal",,4.448690476190476,,0.3556162758333243,0.819656008874964,0.0,0.6548083743622379,0.4914881277457339
Gondomar,museum,WOW Porto - The Cultural District,4.6,"Rua do Choupelo 39, 4400-088 Vila Nova de Gaia, Portugal","museum, tourist_attraction, art_gallery, store, restaurant, food, bar, point_of_interest, establishment",41.1350394,-8.6136088,8917,7713eda2,Turismo Cultural,3.0,41.1347365,-8.6143455,"Rua do Choupelo 39, 4400-088 Vila Nova de Gaia, Portugal",0.9984640641004072,4.599767598270431,WOW Porto - The Cultural District,0.35828775146422204,0.8821073283170564,0.10328850586695394,0.6568528710185373,0.5474162350675158
Gondomar,museum,Porto Region Across the Ages,4.7,"Rua do Choupelo 39, 4400-088 Vila Nova de Gaia, Portugal","museum, point_of_interest, establishment",41.1356238,-8.6134264,93,709672a0,Turismo Cultural,3.0,41.1347365,-8.6143455,"Rua do Choupelo 39, 4400-088 Vila Nova de Gaia, Portugal",0.8714637056532853,4.667697605075486,Porto Region Across the Ages,0.20980624699374695,0.9101878112934321,0.001077249192063106,0.5432190665768472,0.4848280423541141
Gondomar,museum,Multiusos de Gondomar,4.5,"Av. Multiusos, 4420-230 S. Cosme, Portugal","point_of_interest, establishment",41.1354016,-8.538858399999999,5766,bd0efb41,Turismo Cultural,0.0,41.1344387,-8.5391466,"Av. Multiusos, 4420-230 S. Cosme, Portugal",0.99762669887782,4.499878227049565,,0.3556162758333243,0.8408156824007236,0.06678944990791257,0.6548083743622379,0.5208045022236246
Gondomar,museum,Casa do Infante,4.4,"R. da Alfândega 10, 4050-029 Porto, Portugal","tourist_attraction, museum, point_of_interest, establishment",41.1407707,-8.6143246,440,11cfcee2,Turismo Cultural,0.0,41.1407174,-8.6141613,"R. da Alfândega 10, 4050-029 Porto, Portugal",0.9697674792986236,4.401472035829388,Casa do Infante,0.2142174492174492,0.8001371441921494,0.005096662844169534,0.546594986646007,0.45060959789410865
Gondomar,museum,Casa Museu Fernando de Castro,4.4,"Rua de Costa Cabral 716, 4200-211 Porto, Portugal","museum, tourist_attraction, point_of_interest, establishment",41.166421,-8.5959808,161,f6ecee77,Turismo Cultural,0.0,41.1664511,-8.5958556,"Rua de Costa Cabral 716, 4200-211 Porto, Portugal",0.9214901345193456,4.403822682735903,Casa Museu Fernando de Castro,0.22509176587301583,0.8011088399647008,0.0018649152679802157,0.554917167759961,0.45263030766421397
Gondomar,museum,Porto Tram Museum,4.4,"Alameda de Basílio Teles 51, 4050-127 Porto, Portugal","tourist_attraction, museum, point_of_interest, establishment",41.1475709,-8.6329297,3145,5bfe111b,Turismo Cultural,0.0,41.1479791,-8.6326383,"Alameda de Basílio Teles 51, 4050-127 Porto, Portugal",0.995657411276626,4.400211442712841,Porto Tram Museum,0.282047619047619,0.799616048063734,0.03642955601116633,0.5985058309037901,0.4781838116595634
Gondomar,museum,Museu Romântico,4.1,"R. de Entre-Quintas 220, 4050-239 Porto, Portugal","museum, tourist_attraction, park, point_of_interest, establishment",41.1475562,-8.6284562,819,ddbc5222,Turismo Cultural,0.0,41.1476208,-8.6284734,"R. de Entre-Quintas 220, 4050-239 Porto, Portugal",0.9835274064093552,4.105743836503214,Museu Romântico,0.22587878787878787,0.6778908636839758,0.009486742884942837,0.5555194805194805,0.41429902902946636
Gondomar,museum,Planet Cork,4.7,"Rua do Choupelo 39, 4400-088 Vila Nova de Gaia, Portugal","museum, point_of_interest, establishment",41.1351344,-8.6137242,181,ef649b16,Turismo Cultural,3.0,41.1347365,-8.6143455,"Rua do Choupelo 39, 4400-088 Vila Nova de Gaia, Portugal",0.9295541311818956,4.682296282252974,Planet Cork,0.2788387445887446,0.9162225215082638,0.0020965817608970126,0.5960500596342433,0.5047897209678013
